{time: 1729090992648, bid: 5821.097, ask: 5821.623, mid: 5821.360000}
{time: 1729090998826, bid: 5820.119, ask: 5820.63, mid: 5820.374500}
{time: 1729091000180, bid: 5820.359, ask: 5820.864, mid: 5820.611500}
{time: 1729091016339, bid: 5819.907, ask: 5820.364, mid: 5820.135500}
{time: 1729091028838, bid: 5819.597, ask: 5820.126, mid: 5819.861500}
{time: 1729091031499, bid: 5820.157, ask: 5820.629, mid: 5820.393000}
{time: 1729091039303, bid: 5820.106, ask: 5820.62, mid: 5820.363000}
{time: 1729091041610, bid: 5820.112, ask: 5820.608, mid: 5820.360000}
{time: 1729091043464, bid: 5820.109, ask: 5820.623, mid: 5820.366000}
{time: 1729091045894, bid: 5820.407, ask: 5820.864, mid: 5820.635500}
{time: 1729091056795, bid: 5820.157, ask: 5820.62, mid: 5820.388500}
{time: 1729091064819, bid: 5820.157, ask: 5820.611, mid: 5820.384000}
{time: 1729091066524, bid: 5820.112, ask: 5820.617, mid: 5820.364500}
{time: 1729091070959, bid: 5820.362, ask: 5820.858, mid: 5820.610000}
{time: 1729091072120, bid: 5820.157, ask: 5820.623, mid: 5820.390000}
{time: 1729091077739, bid: 5819.841, ask: 5820.37, mid: 5820.105500}
{time: 1729091079898, bid: 5819.872, ask: 5820.374, mid: 5820.123000}
{time: 1729091090967, bid: 5819.971, ask: 5820.509, mid: 5820.240000}
{time: 1729091092773, bid: 5819.646, ask: 5820.154, mid: 5819.900000}
{time: 1729091093475, bid: 5819.641, ask: 5820.179, mid: 5819.910000}
{time: 1729091096841, bid: 5819.662, ask: 5820.158, mid: 5819.910000}
{time: 1729091098904, bid: 5819.656, ask: 5820.179, mid: 5819.917500}
{time: 1729091101360, bid: 5819.884, ask: 5820.413, mid: 5820.148500}
{time: 1729091103699, bid: 5819.897, ask: 5820.363, mid: 5820.130000}
{time: 1729091105652, bid: 5819.909, ask: 5820.414, mid: 5820.161500}
{time: 1729091107561, bid: 5819.707, ask: 5820.167, mid: 5819.937000}
{time: 1729091109770, bid: 5819.65, ask: 5820.179, mid: 5819.914500}
{time: 1729091113865, bid: 5819.77, ask: 5820.281, mid: 5820.025500}
{time: 1729091114917, bid: 5819.644, ask: 5820.113, mid: 5819.878500}
{time: 1729091117874, bid: 5819.659, ask: 5820.167, mid: 5819.913000}
{time: 1729091119529, bid: 5820.131, ask: 5820.654, mid: 5820.392500}
{time: 1729091121483, bid: 5819.647, ask: 5820.176, mid: 5819.911500}
{time: 1729091126505, bid: 5819.644, ask: 5820.158, mid: 5819.901000}
{time: 1729091323204, bid: 5816.674, ask: 5817.206, mid: 5816.940000}
{time: 1729091325659, bid: 5816.439, ask: 5816.893, mid: 5816.666000}
{time: 1729091327473, bid: 5816.43, ask: 5816.893, mid: 5816.661500}
{time: 1729091329228, bid: 5816.737, ask: 5817.203, mid: 5816.970000}
{time: 1729091330984, bid: 5816.81, ask: 5817.318, mid: 5817.064000}
{time: 1729091331285, bid: 5816.942, ask: 5817.393, mid: 5817.167500}
{time: 1729091340531, bid: 5816.683, ask: 5817.188, mid: 5816.935500}
{time: 1729091347096, bid: 5816.544, ask: 5817.073, mid: 5816.808500}
{time: 1729091347447, bid: 5816.692, ask: 5817.206, mid: 5816.949000}
{time: 1729091349772, bid: 5817.167, ask: 5817.69, mid: 5817.428500}
{time: 1729091350725, bid: 5816.923, ask: 5817.437, mid: 5817.180000}
{time: 1729091351729, bid: 5816.92, ask: 5817.443, mid: 5817.181500}
{time: 1729091357555, bid: 5817.167, ask: 5817.693, mid: 5817.430000}
{time: 1729091361887, bid: 5817.161, ask: 5817.699, mid: 5817.430000}
{time: 1729091363044, bid: 5816.926, ask: 5817.434, mid: 5817.180000}
{time: 1729091368912, bid: 5817.401, ask: 5817.918, mid: 5817.659500}
{time: 1729091375690, bid: 5817.913, ask: 5818.43, mid: 5818.171500}
{time: 1729091380907, bid: 5817.837, ask: 5818.288, mid: 5818.062500}
{time: 1729091384539, bid: 5817.912, ask: 5818.417, mid: 5818.164500}
{time: 1729091388951, bid: 5818.264, ask: 5818.784, mid: 5818.524000}
{time: 1729091389303, bid: 5818.89, ask: 5819.407, mid: 5819.148500}
{time: 1729091392469, bid: 5818.89, ask: 5819.407, mid: 5819.148500}
{time: 1729091402957, bid: 5819.883, ask: 5820.394, mid: 5820.138500}
{time: 1729091403841, bid: 5819.389, ask: 5819.903, mid: 5819.646000}
{time: 1729091439115, bid: 5820.917, ask: 5821.38, mid: 5821.148500}
{time: 1729091439717, bid: 5820.854, ask: 5821.38, mid: 5821.117000}
{time: 1729091441780, bid: 5820.61, ask: 5821.13, mid: 5820.870000}
{time: 1729091442931, bid: 5820.471, ask: 5820.943, mid: 5820.707000}
{time: 1729091443885, bid: 5820.36, ask: 5820.889, mid: 5820.624500}
{time: 1729091446475, bid: 5819.872, ask: 5820.368, mid: 5820.120000}
{time: 1729091448680, bid: 5820.119, ask: 5820.63, mid: 5820.374500}
{time: 1729091449631, bid: 5820.119, ask: 5820.573, mid: 5820.346000}
{time: 1729091450683, bid: 5820.354, ask: 5820.874, mid: 5820.614000}
{time: 1729091451986, bid: 5820.483, ask: 5820.943, mid: 5820.713000}
{time: 1729091452237, bid: 5820.609, ask: 5821.108, mid: 5820.858500}
{time: 1729091459535, bid: 5820.6, ask: 5821.108, mid: 5820.854000}
{time: 1729091462497, bid: 5820.362, ask: 5820.873, mid: 5820.617500}
{time: 1729091465754, bid: 5820.362, ask: 5820.879, mid: 5820.620500}
{time: 1729091466757, bid: 5820.1, ask: 5820.626, mid: 5820.363000}
{time: 1729091469697, bid: 5820.347, ask: 5820.876, mid: 5820.611500}
